grid_id,LeftBottom_x,LeftBottom_y,RightTop_x,RightTop_y,Centroid_x,Centroid_y,row,col,area1,area2,area3,all_grid_id,address
2793,120.19398009206611,22.92164698849552,120.1988940486857,22.92616162041757,120.19643707037592,22.92390430445655,108,34,臺南市,仁德區|南區,同安里|大甲里|興農里,17970,臺南市仁德區大甲里中正西路
2794,120.1988940486857,22.92164698849552,120.20380800530529,22.92616162041757,120.20135102699551,22.92390430445655,108,35,臺南市,仁德區,大甲里,17971,臺南市仁德區大甲里中正西路1196巷
2795,120.20380800530529,22.92164698849552,120.20872196192488,22.92616162041757,120.20626498361507,22.92390430445655,108,36,臺南市,仁德區,大甲里,17972,臺南市仁德區大甲里二仁路一段491巷
2796,120.20872196192488,22.92164698849552,120.21363591854448,22.92616162041757,120.21117894023467,22.92390430445655,108,37,臺南市,仁德區,大甲里,17973,臺南市仁德區大甲里二仁路一段491巷
2797,120.21363591854448,22.92164698849552,120.21854987516407,22.92616162041757,120.21609289685426,22.92390430445655,108,38,臺南市,仁德區,二行里|大甲里,17974,臺南市仁德區二行里二層行中正西路360巷
2798,120.21854987516407,22.92164698849552,120.22346383178363,22.92616162041757,120.22100685347387,22.92390430445655,108,39,臺南市,仁德區,二行里|保安里,17975,臺南市仁德區二行里二層行二仁路一段315巷
2799,120.22346383178363,22.92164698849552,120.22837778840322,22.92616162041757,120.22592081009344,22.92390430445655,108,40,臺南市,仁德區,二行里|保安里,17976,臺南市仁德區保安里雙博物館自行車道
2800,120.22837778840322,22.92164698849552,120.23329174502285,22.92616162041757,120.230834766713,22.92390430445655,108,41,臺南市,仁德區,保安里,17977,臺南市仁德區保安里文賢路一段
2801,120.23329174502285,22.92164698849552,120.2382057016424,22.92616162041757,120.23574872333259,22.92390430445655,108,42,臺南市,仁德區,保安里|文賢里,17978,臺南市仁德區保安里文賢路二街
2802,120.2382057016424,22.92164698849552,120.243119658262,22.92616162041757,120.24066267995221,22.92390430445655,108,43,臺南市,仁德區,保安里|文賢里,17979,臺南市仁德區保安里永德路
2803,120.243119658262,22.92164698849552,120.24803361488159,22.92616162041757,120.24557663657184,22.92390430445655,108,44,臺南市,仁德區,保安里|文賢里,17980,臺南市仁德區文賢里開發一路
2804,120.24803361488159,22.92164698849552,120.25294757150118,22.92616162041757,120.25049059319142,22.92390430445655,108,45,臺南市,仁德區,保安里,17981,臺南市仁德區保安里開發四路
2805,120.25294757150118,22.92164698849552,120.25786152812077,22.92616162041757,120.25540454981095,22.92390430445655,108,46,臺南市,仁德區,上崙里|中洲里|保安里,17982,臺南市仁德區保安里開發五路
2806,120.25786152812077,22.92164698849552,120.26277548474036,22.92616162041757,120.26031850643056,22.92390430445655,108,47,臺南市,仁德區,上崙里|中洲里|保安里,17983,臺南市仁德區上崙里蔦松腳中山高速公路
2807,120.26277548474036,22.92164698849552,120.26768944135996,22.92616162041757,120.26523246305015,22.92390430445655,108,48,臺南市,仁德區|歸仁區,上崙里|中洲里|武東里,17984,臺南市歸仁區武東里北武東明德路
2808,120.26768944135996,22.92164698849552,120.27260339797957,22.92616162041757,120.27014641966974,22.92390430445655,108,49,臺南市,歸仁區,武東里,17985,臺南市歸仁區武東里北武東明德路
2809,120.27260339797957,22.92164698849552,120.27751735459913,22.92616162041757,120.27506037628929,22.92390430445655,108,50,臺南市,歸仁區,武東里,17986,臺南市歸仁區武東里北武東中正南路二段
2810,120.27751735459913,22.92164698849552,120.28243131121872,22.92616162041757,120.27997433290892,22.92390430445655,108,51,臺南市,歸仁區,武東里,17987,臺南市歸仁區武東里北武東高鐵八路
2811,120.28243131121872,22.92164698849552,120.28734526783829,22.92616162041757,120.28488828952852,22.92390430445655,108,52,臺南市,歸仁區,武東里,17988,臺南市歸仁區武東里北武東武當路
2812,120.28734526783829,22.92164698849552,120.29225922445791,22.92616162041757,120.28980224614807,22.92390430445655,108,53,臺南市,歸仁區,武東里|沙崙里,17989,臺南市歸仁區武東里歸仁十三路一段
2813,120.29225922445791,22.92164698849552,120.29717318107748,22.92616162041757,120.2947162027677,22.92390430445655,108,54,臺南市,歸仁區,武東里|沙崙里,17990,臺南市歸仁區沙崙里高發二路
2814,120.29717318107748,22.92164698849552,120.30208713769709,22.92616162041757,120.2996301593873,22.92390430445655,108,55,臺南市,歸仁區,沙崙里,17991,臺南市歸仁區沙崙里高發三路二段
2815,120.30208713769709,22.92164698849552,120.30700109431666,22.92616162041757,120.30454411600687,22.92390430445655,108,56,臺南市,歸仁區,沙崙里,17992,臺南市歸仁區沙崙里歸仁十三路一段
2816,120.30700109431666,22.92164698849552,120.31191505093624,22.92616162041757,120.30945807262644,22.92390430445655,108,57,臺南市,歸仁區,沙崙里,17993,臺南市歸仁區看西里下宅仔南157
2817,120.31191505093624,22.92164698849552,120.31682900755585,22.92616162041757,120.31437202924604,22.92390430445655,108,58,臺南市,歸仁區,沙崙里,17994,臺南市歸仁區看西里下宅仔南157
2818,120.31682900755585,22.92164698849552,120.32174296417543,22.92616162041757,120.31928598586563,22.92390430445655,108,59,臺南市,歸仁區|關廟區,沙崙里|深坑里,17995,臺南市歸仁區沙崙里下宅仔南157
2819,120.32174296417543,22.92164698849552,120.32665692079502,22.92616162041757,120.32419994248524,22.92390430445655,108,60,臺南市,歸仁區|關廟區,布袋里|沙崙里|深坑里,17996,臺南市歸仁區沙崙里下宅仔南157
2820,120.32665692079502,22.92164698849552,120.33157087741459,22.92616162041757,120.32911389910481,22.92390430445655,108,61,臺南市,關廟區,布袋里|深坑里,17997,臺南市關廟區深坑里
2821,120.33157087741459,22.92164698849552,120.3364848340342,22.92616162041757,120.33402785572441,22.92390430445655,108,62,臺南市,關廟區,布袋里|深坑里,17998,臺南市關廟區布袋里打鹿洲
2822,120.3364848340342,22.92164698849552,120.34139879065378,22.92616162041757,120.338941812344,22.92390430445655,108,63,臺南市,關廟區,布袋里|深坑里,17999,臺南市關廟區南雄里田中央南雄南路
2823,120.34139879065378,22.92164698849552,120.34631274727337,22.92616162041757,120.34385576896358,22.92390430445655,108,64,臺南市,關廟區,布袋里,18000,臺南市關廟區布袋里田中央南雄南路
2824,120.34631274727337,22.92164698849552,120.35122670389296,22.92616162041757,120.34876972558321,22.92390430445655,108,65,臺南市,關廟區,布袋里,18001,臺南市龍崎區楠坑里福爾摩沙高速公路
2825,120.35122670389296,22.92164698849552,120.35614066051257,22.92616162041757,120.35368368220274,22.92390430445655,108,66,臺南市,關廟區|龍崎區,布袋里|楠坑里,18002,臺南市龍崎區楠坑里福爾摩沙高速公路
2826,120.16941030896817,22.917132356573447,120.17432426558777,22.92164698849552,120.17186728727795,22.91938967253448,109,29,臺南市,南區,佛壇里,18003,臺南市南區佛壇里雙博物館自行車道
2827,120.17432426558777,22.917132356573447,120.17923822220736,22.92164698849552,120.17678124389757,22.91938967253448,109,30,臺南市,南區,佛壇里,18004,臺南市南區佛壇里濱南路
2828,120.17923822220736,22.917132356573447,120.18415217882692,22.92164698849552,120.18169520051713,22.91938967253448,109,31,臺南市,南區,佛壇里,18005,臺南市南區佛壇里灣裡路
2829,120.18415217882692,22.917132356573447,120.18906613544651,22.92164698849552,120.18660915713673,22.91938967253448,109,32,臺南市,南區,佛壇里|同安里,18006,臺南市南區同安里雙博物館自行車道
2830,120.18906613544651,22.917132356573447,120.19398009206611,22.92164698849552,120.19152311375632,22.91938967253448,109,33,臺南市,仁德區|南區,同安里|大甲里,18007,臺南市仁德區大甲里文賢里
2831,120.19398009206611,22.917132356573447,120.1988940486857,22.92164698849552,120.19643707037592,22.91938967253448,109,34,臺南市,仁德區,大甲里,18008,臺南市仁德區大甲里二仁溪水岸自行車道/雙博物館自行車道
2832,120.1988940486857,22.917132356573447,120.20380800530529,22.92164698849552,120.20135102699551,22.91938967253448,109,35,臺南市,仁德區,大甲里,18009,臺南市仁德區大甲里二仁溪水岸自行車道/雙博物館自行車道
2833,120.20380800530529,22.917132356573447,120.20872196192488,22.92164698849552,120.20626498361507,22.91938967253448,109,36,臺南市,仁德區,大甲里,18010,臺南市仁德區大甲里中正西路
2834,120.20872196192488,22.917132356573447,120.21363591854448,22.92164698849552,120.21117894023467,22.91938967253448,109,37,臺南市,仁德區,大甲里,18011,臺南市仁德區大甲里中正西路
2835,120.21363591854448,22.917132356573447,120.21854987516407,22.92164698849552,120.21609289685426,22.91938967253448,109,38,臺南市,仁德區,二行里|大甲里,18012,臺南市仁德區大甲里二層行中正西路360巷
2836,120.21854987516407,22.917132356573447,120.22346383178363,22.92164698849552,120.22100685347387,22.91938967253448,109,39,臺南市,仁德區,二行里,18013,臺南市仁德區二行里二層行中正西路202巷
2837,120.22346383178363,22.917132356573447,120.22837778840322,22.92164698849552,120.22592081009344,22.91938967253448,109,40,臺南市,仁德區,二行里|保安里,18014,臺南市仁德區保安里中正路一段
2838,120.22837778840322,22.917132356573447,120.23329174502285,22.92164698849552,120.230834766713,22.91938967253448,109,41,臺南市,仁德區,中洲里|保安里,18015,臺南市仁德區保安里中正路一段
2839,120.23329174502285,22.917132356573447,120.2382057016424,22.92164698849552,120.23574872333259,22.91938967253448,109,42,臺南市,仁德區,中洲里|保安里,18016,臺南市仁德區保安里保學一街
2840,120.2382057016424,22.917132356573447,120.243119658262,22.92164698849552,120.24066267995221,22.91938967253448,109,43,臺南市,仁德區,中洲里|保安里,18017,臺南市仁德區保安里文賢路二段
