grid_id,row,col,population
206,51,52,0
207,51,53,0
208,52,23,46
209,52,24,0
210,52,25,11
211,52,26,114
212,52,27,130
213,52,28,2
214,52,29,0
215,52,30,70
216,52,31,43
217,52,32,0
218,52,33,5
219,52,34,0
220,52,35,63
221,52,36,120
222,52,37,35
223,52,38,41
224,52,39,156
225,52,40,0
226,52,41,4
227,52,42,2
228,52,43,214
229,52,44,181
230,52,45,301
231,52,46,205
232,52,47,162
233,52,48,0
234,52,49,0
235,52,50,0
236,52,51,0
237,52,52,0
238,52,53,0
239,52,54,0
240,52,55,0
241,52,56,0
242,52,57,0
243,53,24,50
244,53,25,389
245,53,26,133
246,53,27,45
247,53,28,159
248,53,29,316
249,53,30,304
250,53,31,99
251,53,32,51
252,53,33,15
253,53,34,137
254,53,35,25
255,53,36,246
256,53,37,165
257,53,38,1
258,53,39,0
259,53,40,1
260,53,41,0
261,53,42,4
262,53,43,16
263,53,44,0
264,53,45,216
265,53,46,5
266,53,47,0
267,53,48,0
268,53,49,0
269,53,50,0
270,53,51,0
271,53,52,0
272,53,53,1
273,53,54,0
274,53,55,1
275,53,56,0
276,53,57,0
277,53,58,15
278,54,24,2
279,54,25,95
280,54,26,45
281,54,27,4
282,54,28,36
283,54,29,1146
284,54,30,375
285,54,31,509
286,54,32,48
287,54,33,19
288,54,34,32
289,54,35,26
290,54,36,0
291,54,37,16
292,54,38,0
293,54,39,99
294,54,40,0
295,54,41,49
296,54,42,0
297,54,43,8
298,54,44,124
299,54,45,137
300,54,46,62
301,54,47,0
302,54,48,0
303,54,49,14
304,54,50,0
305,54,51,0
306,54,52,0
307,54,53,0
308,54,54,0
309,54,55,0
310,54,56,0
311,54,57,0
312,54,58,2
313,54,59,0
314,54,60,47
315,55,25,3
316,55,26,171
317,55,27,24
318,55,28,418
319,55,29,753
320,55,30,953
321,55,31,527
322,55,32,37
323,55,33,260
324,55,34,116
325,55,35,0
326,55,36,0
327,55,37,1
328,55,38,2
329,55,39,3
330,55,40,0
331,55,41,67
332,55,42,0
333,55,43,18
334,55,44,75
335,55,45,58
336,55,46,0
337,55,47,0
338,55,48,0
339,55,49,0
340,55,50,0
341,55,51,1
342,55,52,0
343,55,53,7
344,55,54,0
345,55,55,1
346,55,56,0
347,55,57,8
348,55,58,0
349,55,59,18
350,55,60,0
351,55,61,0
352,56,25,0
353,56,26,511
354,56,27,356
355,56,28,203
356,56,29,950
357,56,30,1006
358,56,31,712
359,56,32,27
360,56,33,62
361,56,34,2
362,56,35,14
363,56,36,78
364,56,37,0
365,56,38,0
366,56,39,7
367,56,40,0
368,56,41,0
369,56,42,127
370,56,43,178
371,56,44,281
372,56,45,0
373,56,46,0
374,56,47,0
375,56,48,0
376,56,49,0
377,56,50,0
378,56,51,0
379,56,52,0
380,56,53,6
381,56,54,31
382,56,55,20
383,56,56,32
384,56,57,27
385,56,58,123
386,56,59,276
387,56,60,198
388,56,61,26
389,56,62,0
390,56,63,0
391,57,26,6
392,57,27,44
393,57,28,0
394,57,29,301
395,57,30,789
396,57,31,960
397,57,32,13
398,57,33,16
399,57,34,47
400,57,35,0
401,57,36,83
402,57,37,21
403,57,38,4
404,57,39,0
405,57,40,2
406,57,41,0
407,57,42,150
408,57,43,113
409,57,44,0
410,57,45,0
411,57,46,0
412,57,47,0
413,57,48,0
414,57,49,0
415,57,50,0
416,57,51,33
417,57,52,277
418,57,53,0
419,57,54,129
420,57,55,251
421,57,56,370
422,57,57,67
423,57,58,135
424,57,59,6
425,57,60,3
426,57,61,0
427,57,62,0
428,57,63,0
429,57,64,9
430,58,26,0
431,58,27,0
432,58,28,0
433,58,29,363
434,58,30,1193
435,58,31,744
436,58,32,5
437,58,33,13
438,58,34,0
439,58,35,0
440,58,36,14
441,58,37,4
442,58,38,0
443,58,39,1
444,58,40,0
445,58,41,0
446,58,42,408
447,58,43,89
448,58,44,72
449,58,45,0
450,58,46,0
451,58,47,0
452,58,48,0
453,58,49,0
454,58,50,1
455,58,51,79
456,58,52,211
457,58,53,115
458,58,54,88
459,58,55,171
460,58,56,176
461,58,57,0
462,58,58,0
463,58,59,4
464,58,60,2
465,58,61,0
466,58,62,6
467,58,63,0
468,58,64,0
469,59,25,100
470,59,26,234
471,59,27,0
472,59,28,5
473,59,29,0
474,59,30,24
475,59,31,79
476,59,32,4
477,59,33,0
478,59,34,9
479,59,35,3
480,59,36,2
481,59,37,0
482,59,38,273
483,59,39,68
484,59,40,0
485,59,41,11
486,59,42,3
487,59,43,10
488,59,44,0
489,59,45,0
490,59,46,0
491,59,47,0
492,59,48,0
493,59,49,544
494,59,50,150
495,59,51,215
496,59,52,93
497,59,53,2
