grid_id,row,col,store
573,61,48,1
574,61,49,6
575,61,50,9
576,61,51,24
577,61,52,18
578,61,53,21
579,61,54,3
580,61,55,8
581,61,56,36
582,61,57,14
583,61,58,0
584,61,59,7
585,61,60,22
586,61,61,3
587,61,62,0
588,61,63,0
589,62,24,6
590,62,25,4
591,62,26,0
592,62,27,1
593,62,28,3
594,62,29,1
595,62,30,4
596,62,31,3
597,62,32,0
598,62,33,0
599,62,34,4
600,62,35,0
601,62,36,0
602,62,37,0
603,62,38,4
604,62,39,3
605,62,40,2
606,62,41,1
607,62,42,0
608,62,43,0
609,62,44,2
610,62,45,14
611,62,46,13
612,62,47,6
613,62,48,0
614,62,49,2
615,62,50,0
616,62,51,10
617,62,52,52
618,62,53,188
619,62,54,233
620,62,55,238
621,62,56,89
622,62,57,15
623,62,58,9
624,62,59,0
625,62,60,1
626,62,61,0
627,62,62,0
628,63,24,2
629,63,25,5
630,63,26,2
631,63,27,2
632,63,28,3
633,63,29,1
634,63,30,3
635,63,31,0
636,63,32,0
637,63,33,3
638,63,34,10
639,63,35,24
640,63,36,1
641,63,37,16
642,63,38,9
643,63,39,7
644,63,40,2
645,63,41,0
646,63,42,0
647,63,43,0
648,63,44,1
649,63,45,44
650,63,46,15
651,63,47,5
652,63,48,0
653,63,49,1
654,63,50,2
655,63,51,0
656,63,52,29
657,63,53,40
658,63,54,70
659,63,55,20
660,63,56,5
661,63,57,20
662,63,58,23
663,63,59,27
664,63,60,11
665,63,61,0
666,63,62,0
667,64,25,1
668,64,26,1
669,64,27,1
670,64,28,0
671,64,29,0
672,64,30,0
673,64,31,0
674,64,32,12
675,64,33,4
676,64,34,7
677,64,35,173
678,64,36,61
679,64,37,3
680,64,38,7
681,64,39,1
682,64,40,0
683,64,41,0
684,64,42,28
685,64,43,16
686,64,44,22
687,64,45,2
688,64,46,6
689,64,47,0
690,64,48,0
691,64,49,0
692,64,50,0
693,64,51,0
694,64,52,0
695,64,53,2
696,64,54,10
697,64,55,0
698,64,56,1
699,64,57,4
700,64,58,13
701,64,59,2
702,64,60,0
703,64,61,0
704,64,62,0
705,65,27,0
706,65,28,3
