grid_id,row,col,store
316,44,51,5
317,44,52,3
318,44,53,0
319,44,54,0
320,44,55,0
321,44,56,0
322,44,57,3
323,44,58,0
324,44,59,3
325,44,60,14
326,44,61,24
327,44,62,0
328,44,63,0
329,44,64,0
330,44,65,1
331,44,66,1
332,44,67,2
333,44,68,1
334,44,69,1
335,44,70,0
336,44,71,0
337,44,72,0
338,44,73,0
339,44,74,0
340,45,7,0
341,45,8,0
342,45,9,0
343,45,10,0
344,45,11,0
345,45,12,0
346,45,13,0
347,45,14,0
348,45,15,0
349,45,16,0
350,45,17,0
351,45,18,0
352,45,19,1
353,45,20,1
354,45,21,6
355,45,22,0
356,45,23,0
357,45,24,0
358,45,25,4
359,45,26,3
360,45,27,1
361,45,28,0
362,45,29,0
363,45,30,0
364,45,31,1
365,45,32,13
366,45,33,0
367,45,34,0
368,45,35,0
369,45,36,1
370,45,37,0
371,45,38,0
372,45,39,0
373,45,40,0
374,45,41,1
375,45,42,1
376,45,43,0
377,45,44,0
378,45,45,1
379,45,46,0
380,45,47,5
381,45,48,7
382,45,49,0
383,45,50,1
384,45,51,0
385,45,52,0
386,45,53,0
387,45,54,0
388,45,55,0
389,45,56,0
390,45,57,0
391,45,58,13
392,45,59,23
393,45,60,9
394,45,61,38
395,45,62,0
396,45,63,3
397,45,64,1
398,45,65,10
399,45,66,0
400,45,67,0
401,45,68,0
402,45,69,0
403,45,70,0
404,45,71,0
405,45,72,0
406,45,73,0
407,45,74,0
408,46,7,0
409,46,8,0
410,46,9,0
411,46,10,0
412,46,11,0
413,46,12,0
414,46,13,0
415,46,14,0
416,46,15,0
417,46,16,0
418,46,17,0
419,46,18,0
420,46,19,0
421,46,20,0
422,46,21,1
423,46,22,3
424,46,23,0
425,46,24,0
426,46,25,3
427,46,26,9
428,46,27,2
429,46,28,0
430,46,29,0
431,46,30,0
432,46,31,0
433,46,32,2
434,46,33,2
435,46,34,0
436,46,35,0
437,46,36,1
438,46,37,0
439,46,38,0
440,46,39,0
441,46,40,0
442,46,41,1
443,46,42,1
444,46,43,0
445,46,44,0
446,46,45,2
447,46,46,1
448,46,47,0
449,46,48,0
450,46,49,0
451,46,50,0
452,46,51,0
453,46,52,1
454,46,53,1
455,46,54,0
456,46,55,0
457,46,56,0
458,46,57,0
459,46,58,6
460,46,59,7
461,46,60,21
462,46,61,5
463,46,62,0
464,46,63,0
465,46,64,0
466,46,65,1
467,46,66,0
468,46,67,0
469,46,68,0
470,46,69,0
471,46,70,0
472,46,71,0
473,46,72,0
474,46,73,0
475,46,74,0
476,47,7,0
477,47,8,0
478,47,9,0
479,47,10,0
480,47,11,0
481,47,12,0
482,47,13,0
483,47,14,0
484,47,15,0
485,47,16,0
486,47,17,0
487,47,18,0
488,47,19,0
489,47,20,1
490,47,21,0
491,47,22,0
492,47,23,0
493,47,24,0
494,47,25,9
495,47,26,38
496,47,27,19
497,47,28,0
498,47,29,0
499,47,30,0
500,47,31,0
501,47,32,1
502,47,33,1
503,47,34,0
504,47,35,0
505,47,36,3
506,47,37,8
507,47,38,4
508,47,39,1
509,47,40,0
510,47,41,1
511,47,42,0
512,47,43,0
513,47,44,2
514,47,45,0
515,47,46,0
516,47,47,0
517,47,48,1
518,47,49,0
519,47,50,0
520,47,51,0
521,47,52,0
522,47,53,0
523,47,54,0
524,47,55,1
525,47,56,0
526,47,57,4
527,47,58,25
528,47,59,27
529,47,60,0
530,47,61,0
531,47,62,1
532,47,63,0
533,47,64,0
534,47,65,0
535,47,66,0
536,47,67,0
537,47,68,0
538,47,69,0
539,47,70,0
540,47,71,0
541,47,72,0
542,47,73,0
543,47,74,0
544,48,7,0
545,48,8,0
546,48,9,0
547,48,10,0
548,48,11,0
549,48,12,0
550,48,13,0
551,48,14,0
552,48,15,0
553,48,16,0
554,48,17,0
555,48,18,0
556,48,19,0
557,48,20,0
558,48,21,0
559,48,22,0
560,48,23,2
561,48,24,3
562,48,25,8
563,48,26,18
564,48,27,0
565,48,28,1
566,48,29,0
567,48,30,0
568,48,31,0
569,48,32,6
570,48,33,3
571,48,34,0
572,48,35,2
573,48,36,0
574,48,37,1
575,48,38,0
576,48,39,0
577,48,40,9
578,48,41,9
579,48,42,1
580,48,43,1
581,48,44,0
582,48,45,15
583,48,46,0
584,48,47,1
585,48,48,4
586,48,49,1
587,48,50,0
588,48,51,0
589,48,52,0
590,48,53,0
591,48,54,1
592,48,55,7
593,48,56,12
594,48,57,6
595,48,58,53
596,48,59,97
597,48,60,8
598,48,61,0
599,48,62,0
600,48,63,2
601,48,64,0
602,48,65,0
603,48,66,3
604,48,67,0
605,48,68,0
606,48,69,1
607,48,70,0
608,48,71,0
609,48,72,0
610,48,73,0
611,48,74,0
612,49,7,0
613,49,8,0
614,49,9,0
615,49,10,0
616,49,11,0
617,49,12,27
618,49,13,5
619,49,14,0
620,49,15,0
621,49,16,0
622,49,17,0
623,49,18,0
624,49,19,0
625,49,20,2
626,49,21,2
627,49,22,0
628,49,23,0
629,49,24,0
630,49,25,0
631,49,26,3
632,49,27,2
633,49,28,0
634,49,29,0
635,49,30,2
636,49,31,2
637,49,32,21
638,49,33,14
639,49,34,7
640,49,35,1
641,49,36,0
642,49,37,0
643,49,38,0
644,49,39,0
645,49,40,19
646,49,41,0
647,49,42,3
648,49,43,16
